Trigger Data Ora RH_Raw T_Raw RH T
       1 2024-11-16 16:49:-750.605 43690 43690 -139.504 397.200
       2 2024-11-16 16:49:-750.603 43690 43690 -139.504 397.200
       3 2024-11-16 16:49:-750.602 43690 43690 -139.504 397.200
       4 2024-11-16 16:49:-750.600 43690 43690 -139.504 397.200
       5 2024-11-16 16:49:-750.598 43690 43690 -139.504 397.200
       6 2024-11-16 16:49:-750.596 43690 43690 -139.504 397.200
       7 2024-11-16 16:49:-750.595 43690 43690 -139.504 397.200
       8 2024-11-16 16:49:-750.593 43690 43690 -139.504 397.200
       9 2024-11-16 16:49:-750.591 43690 43690 -139.504 397.200
      10 2024-11-16 16:49:-750.589 43690 43690 -139.504 397.200
      11 2024-11-16 16:49:-750.588 43690 43690 -139.504 397.200
      12 2024-11-16 16:49:-750.586 43690 43690 -139.504 397.200
      13 2024-11-16 16:49:-750.584 43690 43690 -139.504 397.200
      14 2024-11-16 16:49:-750.582 43690 43690 -139.504 397.200
      15 2024-11-16 16:49:-750.580 43690 43690 -139.504 397.200
      16 2024-11-16 16:49:-750.579 43690 43690 -139.504 397.200
      17 2024-11-16 16:49:-750.577 43690 43690 -139.504 397.200
      18 2024-11-16 16:49:-750.575 43690 43690 -139.504 397.200
      19 2024-11-16 16:49:-750.573 43690 43690 -139.504 397.200
      20 2024-11-16 16:49:-750.571 43690 43690 -139.504 397.200
      21 2024-11-16 16:49:-750.570 43690 43690 -139.504 397.200
      22 2024-11-16 16:49:-750.568 43690 43690 -139.504 397.200
      23 2024-11-16 16:49:-750.566 43690 43690 -139.504 397.200
      24 2024-11-16 16:49:-750.564 43690 43690 -139.504 397.200
      25 2024-11-16 16:49:-750.562 43690 43690 -139.504 397.200
      26 2024-11-16 16:49:-750.560 43690 43690 -139.504 397.200
      27 2024-11-16 16:49:-750.558 43690 43690 -139.504 397.200
      28 2024-11-16 16:49:-750.557 43690 43690 -139.504 397.200
      29 2024-11-16 16:49:-750.555 43690 43690 -139.504 397.200
      30 2024-11-16 16:49:-750.553 43690 43690 -139.504 397.200
      31 2024-11-16 16:49:-750.551 43690 43690 -139.504 397.200
      32 2024-11-16 16:49:-750.549 43690 43690 -139.504 397.200
      33 2024-11-16 16:49:-750.547 43690 43690 -139.504 397.200
      34 2024-11-16 16:49:-750.545 43690 43690 -139.504 397.200
      35 2024-11-16 16:49:-750.543 43690 43690 -139.504 397.200
      36 2024-11-16 16:49:-750.542 43690 43690 -139.504 397.200
      37 2024-11-16 16:49:-750.540 43690 43690 -139.504 397.200
      38 2024-11-16 16:49:-750.538 43690 43690 -139.504 397.200
      39 2024-11-16 16:49:-750.536 43690 43690 -139.504 397.200
      40 2024-11-16 16:49:-750.534 43690 43690 -139.504 397.200
      41 2024-11-16 16:49:-750.532 43690 43690 -139.504 397.200
      42 2024-11-16 16:49:-750.530 43690 43690 -139.504 397.200
      43 2024-11-16 16:49:-750.528 43690 43690 -139.504 397.200
      44 2024-11-16 16:49:-750.526 43690 43690 -139.504 397.200
      45 2024-11-16 16:49:-750.524 43690 43690 -139.504 397.200
      46 2024-11-16 16:49:-750.522 43690 43690 -139.504 397.200
